Blender 4.0.2
Fra:1 Mem:72.98M (Peak 74.06M) | Time:00:02.46 | Syncing AurelianContinuousTerrain
Fra:1 Mem:74.92M (Peak 74.92M) | Time:00:03.08 | Syncing RiverWater
Fra:1 Mem:74.94M (Peak 74.94M) | Time:00:03.08 | Syncing RoadApproach
Fra:1 Mem:74.96M (Peak 74.96M) | Time:00:03.08 | Syncing building_bridge_A
Fra:1 Mem:79.07M (Peak 82.98M) | Time:00:03.59 | Syncing Role_bridge
Fra:1 Mem:79.07M (Peak 82.98M) | Time:00:03.59 | Syncing tree_single_A
Fra:1 Mem:83.09M (Peak 87.08M) | Time:00:03.61 | Syncing Role_tree_a
Fra:1 Mem:83.10M (Peak 87.08M) | Time:00:03.61 | Syncing tree_single_B
Fra:1 Mem:83.14M (Peak 87.08M) | Time:00:03.61 | Syncing Role_tree_b
Fra:1 Mem:83.14M (Peak 87.08M) | Time:00:03.61 | Syncing tree_single_A.001
Fra:1 Mem:83.15M (Peak 87.08M) | Time:00:03.61 | Syncing Role_tree_a.001
Fra:1 Mem:83.16M (Peak 87.08M) | Time:00:03.61 | Syncing tree_single_B.001
Fra:1 Mem:83.19M (Peak 87.08M) | Time:00:03.61 | Syncing Role_tree_b.001
Fra:1 Mem:83.20M (Peak 87.08M) | Time:00:03.61 | Syncing tree_single_A.002
Fra:1 Mem:83.21M (Peak 87.08M) | Time:00:03.61 | Syncing Role_tree_a.002
Fra:1 Mem:83.22M (Peak 87.08M) | Time:00:03.61 | Syncing tree_single_B.002
Fra:1 Mem:83.25M (Peak 87.08M) | Time:00:03.61 | Syncing Role_tree_b.002
Fra:1 Mem:83.26M (Peak 87.08M) | Time:00:03.61 | Syncing rock_single_C
Fra:1 Mem:83.27M (Peak 87.08M) | Time:00:03.61 | Syncing Role_rock_c
Fra:1 Mem:83.27M (Peak 87.08M) | Time:00:03.61 | Syncing rock_single_E
Fra:1 Mem:83.29M (Peak 87.08M) | Time:00:03.61 | Syncing Role_rock_e
Fra:1 Mem:83.29M (Peak 87.08M) | Time:00:03.61 | Syncing rock_single_C.001
Fra:1 Mem:83.30M (Peak 87.08M) | Time:00:03.61 | Syncing Role_rock_c.001
Fra:1 Mem:83.31M (Peak 87.08M) | Time:00:03.61 | Syncing rock_single_E.001
Fra:1 Mem:83.32M (Peak 87.08M) | Time:00:03.61 | Syncing Role_rock_e.001
Fra:1 Mem:83.32M (Peak 87.08M) | Time:00:03.61 | Syncing AurelianVillageV4Sun
