Blender 4.0.2
Fra:1 Mem:78.48M (Peak 79.57M) | Time:00:03.22 | Syncing AurelianTerrain
Fra:1 Mem:78.72M (Peak 79.57M) | Time:00:03.75 | Syncing CanonicalRiver
Fra:1 Mem:78.73M (Peak 79.57M) | Time:00:03.75 | Syncing GreenvaleRoad
Fra:1 Mem:78.74M (Peak 79.57M) | Time:00:03.75 | Syncing CanonicalBridge
Fra:1 Mem:78.75M (Peak 79.57M) | Time:00:03.75 | Syncing GreenvaleBuilding
Fra:1 Mem:78.76M (Peak 79.57M) | Time:00:03.75 | Syncing GreenvaleBuilding.001
Fra:1 Mem:78.77M (Peak 79.57M) | Time:00:03.75 | Syncing GreenvaleBuilding.002
Fra:1 Mem:78.78M (Peak 79.57M) | Time:00:03.75 | Syncing GreenvaleBuilding.003
Fra:1 Mem:78.78M (Peak 79.57M) | Time:00:03.75 | Syncing Sun
Fra:1 Mem:78.78M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_00
Fra:1 Mem:78.79M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_01
Fra:1 Mem:78.80M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_02
Fra:1 Mem:78.80M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_03
Fra:1 Mem:78.81M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_04
Fra:1 Mem:78.81M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_05
Fra:1 Mem:78.82M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_06
Fra:1 Mem:78.83M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_07
Fra:1 Mem:78.83M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_08
Fra:1 Mem:78.84M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_09
Fra:1 Mem:78.84M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_10
Fra:1 Mem:78.85M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_11
Fra:1 Mem:78.86M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_12
Fra:1 Mem:78.86M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_13
Fra:1 Mem:78.87M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_14
Fra:1 Mem:78.87M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_15
Fra:1 Mem:78.88M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_16
Fra:1 Mem:78.88M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_17
Fra:1 Mem:78.89M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_18
Fra:1 Mem:78.90M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_19
Fra:1 Mem:78.90M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_20
Fra:1 Mem:78.91M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_21
Fra:1 Mem:78.91M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_22
Fra:1 Mem:78.92M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_23
Fra:1 Mem:78.93M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_24
Fra:1 Mem:78.93M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_25
Fra:1 Mem:78.94M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_26
Fra:1 Mem:78.94M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_27
Fra:1 Mem:78.95M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_28
Fra:1 Mem:78.96M (Peak 79.57M) | Time:00:03.75 | Syncing basin_cell_29
Fra:1 Mem:78.96M (Peak 79.57M) | Time:00:03.75 | Syncing Camera
Fra:1 Mem:79.27M (Peak 79.57M) | Time:00:03.76 | Rendering 1 / 64 samples
Fra:1 Mem:78.90M (Peak 79.57M) | Time:00:13.59 | Rendering 26 / 64 samples
Fra:1 Mem:78.90M (Peak 79.57M) | Time:00:21.39 | Rendering 51 / 64 samples
Fra:1 Mem:78.90M (Peak 79.57M) | Time:00:25.16 | Rendering 64 / 64 samples
Saved: '/home/runner/work/_temp/pixel-nations-world-v4/render/basin-master.png'
Time: 00:25.90 (Saving: 00:00.40)

Fra:1 Mem:78.32M (Peak 78.32M) | Time:00:00.02 | Syncing AurelianTerrain
Fra:1 Mem:78.48M (Peak 78.48M) | Time:00:00.02 | Syncing CanonicalRiver
Fra:1 Mem:78.49M (Peak 78.49M) | Time:00:00.02 | Syncing GreenvaleRoad
Fra:1 Mem:78.50M (Peak 78.50M) | Time:00:00.02 | Syncing CanonicalBridge
Fra:1 Mem:78.51M (Peak 78.51M) | Time:00:00.02 | Syncing GreenvaleBuilding
Fra:1 Mem:78.52M (Peak 78.52M) | Time:00:00.02 | Syncing GreenvaleBuilding.001
Fra:1 Mem:78.53M (Peak 78.53M) | Time:00:00.02 | Syncing GreenvaleBuilding.002
Fra:1 Mem:78.54M (Peak 78.54M) | Time:00:00.02 | Syncing GreenvaleBuilding.003
Fra:1 Mem:78.54M (Peak 78.54M) | Time:00:00.02 | Syncing Sun
Fra:1 Mem:78.54M (Peak 78.54M) | Time:00:00.02 | Syncing region_cell_00
Fra:1 Mem:78.55M (Peak 78.55M) | Time:00:00.02 | Syncing region_cell_01
Fra:1 Mem:78.55M (Peak 78.55M) | Time:00:00.02 | Syncing region_cell_02
Fra:1 Mem:78.56M (Peak 78.56M) | Time:00:00.02 | Syncing region_cell_03
Fra:1 Mem:78.57M (Peak 78.57M) | Time:00:00.02 | Syncing region_cell_04
Fra:1 Mem:78.57M (Peak 78.57M) | Time:00:00.02 | Syncing region_cell_05
Fra:1 Mem:78.58M (Peak 78.58M) | Time:00:00.02 | Syncing region_cell_06
Fra:1 Mem:78.58M (Peak 78.58M) | Time:00:00.02 | Syncing region_cell_07
Fra:1 Mem:78.59M (Peak 78.59M) | Time:00:00.02 | Syncing region_cell_08
Fra:1 Mem:78.60M (Peak 78.60M) | Time:00:00.02 | Syncing region_cell_09
Fra:1 Mem:78.60M (Peak 78.60M) | Time:00:00.02 | Syncing region_cell_10
Fra:1 Mem:78.61M (Peak 78.61M) | Time:00:00.02 | Syncing region_cell_11
Fra:1 Mem:78.61M (Peak 78.61M) | Time:00:00.02 | Syncing region_cell_12
Fra:1 Mem:78.62M (Peak 78.62M) | Time:00:00.02 | Syncing region_cell_13
Fra:1 Mem:78.62M (Peak 78.62M) | Time:00:00.02 | Syncing region_cell_14
Fra:1 Mem:78.63M (Peak 78.63M) | Time:00:00.02 | Syncing region_cell_15
Fra:1 Mem:78.64M (Peak 78.64M) | Time:00:00.02 | Syncing region_cell_16
Fra:1 Mem:78.64M (Peak 78.64M) | Time:00:00.02 | Syncing region_cell_17
Fra:1 Mem:78.65M (Peak 78.65M) | Time:00:00.02 | Syncing region_cell_18
Fra:1 Mem:78.65M (Peak 78.65M) | Time:00:00.02 | Syncing region_cell_19
Fra:1 Mem:78.66M (Peak 78.66M) | Time:00:00.02 | Syncing region_cell_20
Fra:1 Mem:78.67M (Peak 78.67M) | Time:00:00.02 | Syncing region_cell_21
Fra:1 Mem:78.67M (Peak 78.67M) | Time:00:00.02 | Syncing region_cell_22
Fra:1 Mem:78.68M (Peak 78.68M) | Time:00:00.02 | Syncing region_cell_23
Fra:1 Mem:78.68M (Peak 78.68M) | Time:00:00.02 | Syncing region_cell_24
Fra:1 Mem:78.69M (Peak 78.69M) | Time:00:00.02 | Syncing Camera
Fra:1 Mem:78.97M (Peak 78.97M) | Time:00:00.03 | Rendering 1 / 64 samples
Fra:1 Mem:78.61M (Peak 78.97M) | Time:00:12.20 | Rendering 26 / 64 samples
Fra:1 Mem:78.61M (Peak 78.97M) | Time:00:23.69 | Rendering 51 / 64 samples
Fra:1 Mem:78.61M (Peak 78.97M) | Time:00:29.67 | Rendering 64 / 64 samples
Saved: '/home/runner/work/_temp/pixel-nations-world-v4/render/region-master.png'
Time: 00:30.56 (Saving: 00:00.39)

WORLD_V4_RENDER_OK=/home/runner/work/_temp/pixel-nations-world-v4/render

Blender quit
